Category: All categories

Week,Backend Developer: (India)
2020-09-06,32
2020-09-13,34
2020-09-20,25
2020-09-27,20
2020-10-04,16
2020-10-11,23
2020-10-18,17
2020-10-25,20
2020-11-01,19
2020-11-08,23
2020-11-15,20
2020-11-22,19
2020-11-29,19
2020-12-06,21
2020-12-13,25
2020-12-20,26
2020-12-27,20
2021-01-03,22
2021-01-10,24
2021-01-17,28
2021-01-24,28
2021-01-31,24
2021-02-07,29
2021-02-14,22
2021-02-21,26
2021-02-28,26
2021-03-07,37
2021-03-14,33
2021-03-21,33
2021-03-28,22
2021-04-04,21
2021-04-11,27
2021-04-18,31
2021-04-25,31
2021-05-02,32
2021-05-09,37
2021-05-16,31
2021-05-23,37
2021-05-30,43
2021-06-06,37
2021-06-13,33
2021-06-20,31
2021-06-27,40
2021-07-04,33
2021-07-11,36
2021-07-18,44
2021-07-25,39
2021-08-01,36
2021-08-08,39
2021-08-15,35
2021-08-22,37
2021-08-29,32
2021-09-05,42
2021-09-12,41
2021-09-19,38
2021-09-26,35
2021-10-03,32
2021-10-10,27
2021-10-17,35
2021-10-24,32
2021-10-31,21
2021-11-07,41
2021-11-14,34
2021-11-21,40
2021-11-28,33
2021-12-05,39
2021-12-12,48
2021-12-19,35
2021-12-26,30
2022-01-02,64
2022-01-09,69
2022-01-16,55
2022-01-23,67
2022-01-30,69
2022-02-06,70
2022-02-13,65
2022-02-20,55
2022-02-27,61
2022-03-06,70
2022-03-13,66
2022-03-20,64
2022-03-27,66
2022-04-03,73
2022-04-10,62
2022-04-17,66
2022-04-24,69
2022-05-01,73
2022-05-08,70
2022-05-15,71
2022-05-22,71
2022-05-29,76
2022-06-05,67
2022-06-12,76
2022-06-19,66
2022-06-26,71
2022-07-03,71
2022-07-10,68
2022-07-17,65
2022-07-24,71
2022-07-31,70
2022-08-07,62
2022-08-14,72
2022-08-21,75
2022-08-28,72
2022-09-04,73
2022-09-11,87
2022-09-18,77
2022-09-25,66
2022-10-02,57
2022-10-09,83
2022-10-16,68
2022-10-23,52
2022-10-30,58
2022-11-06,71
2022-11-13,73
2022-11-20,64
2022-11-27,62
2022-12-04,63
2022-12-11,60
2022-12-18,63
2022-12-25,64
2023-01-01,75
2023-01-08,70
2023-01-15,73
2023-01-22,69
2023-01-29,74
2023-02-05,70
2023-02-12,65
2023-02-19,65
2023-02-26,68
2023-03-05,63
2023-03-12,67
2023-03-19,66
2023-03-26,71
2023-04-02,67
2023-04-09,70
2023-04-16,68
2023-04-23,71
2023-04-30,60
2023-05-07,67
2023-05-14,68
2023-05-21,71
2023-05-28,73
2023-06-04,74
2023-06-11,77
2023-06-18,77
2023-06-25,92
2023-07-02,81
2023-07-09,79
2023-07-16,82
2023-07-23,89
2023-07-30,82
2023-08-06,75
2023-08-13,81
2023-08-20,83
2023-08-27,84
2023-09-03,83
2023-09-10,72
2023-09-17,74
2023-09-24,74
2023-10-01,73
2023-10-08,82
2023-10-15,68
2023-10-22,69
2023-10-29,63
2023-11-05,69
2023-11-12,69
2023-11-19,71
2023-11-26,76
2023-12-03,76
2023-12-10,73
2023-12-17,83
2023-12-24,81
2023-12-31,100
2024-01-07,93
2024-01-14,80
2024-01-21,80
2024-01-28,88
2024-02-04,88
2024-02-11,87
2024-02-18,83
2024-02-25,91
2024-03-03,85
2024-03-10,91
2024-03-17,88
2024-03-24,64
2024-03-31,88
2024-04-07,87
2024-04-14,86
2024-04-21,84
2024-04-28,70
2024-05-05,73
2024-05-12,72
2024-05-19,77
2024-05-26,95
2024-06-02,79
2024-06-09,83
2024-06-16,87
2024-06-23,84
2024-06-30,87
2024-07-07,87
2024-07-14,87
2024-07-21,80
2024-07-28,77
2024-08-04,84
2024-08-11,74
2024-08-18,81
2024-08-25,77
2024-09-01,82
2024-09-08,85
2024-09-15,91
2024-09-22,88
2024-09-29,88
2024-10-06,70
2024-10-13,82
2024-10-20,76
2024-10-27,54
2024-11-03,92
2024-11-10,89
2024-11-17,89
2024-11-24,90
2024-12-01,83
2024-12-08,76
2024-12-15,81
2024-12-22,71
2024-12-29,61
2025-01-05,80
2025-01-12,69
2025-01-19,82
2025-01-26,78
2025-02-02,83
2025-02-09,75
2025-02-16,82
2025-02-23,76
2025-03-02,73
2025-03-09,74
2025-03-16,87
2025-03-23,78
2025-03-30,70
2025-04-06,78
2025-04-13,75
2025-04-20,74
2025-04-27,65
2025-05-04,65
2025-05-11,76
2025-05-18,72
2025-05-25,70
2025-06-01,71
2025-06-08,85
2025-06-15,76
2025-06-22,82
2025-06-29,74
2025-07-06,72
2025-07-13,95
2025-07-20,80
2025-07-27,78
2025-08-03,79
2025-08-10,79
2025-08-17,79
2025-08-24,67
2025-08-31,70
