Category: All categories

Week,DevOPS: (India)
2020-09-06,45
2020-09-13,52
2020-09-20,44
2020-09-27,38
2020-10-04,41
2020-10-11,39
2020-10-18,39
2020-10-25,38
2020-11-01,41
2020-11-08,42
2020-11-15,48
2020-11-22,47
2020-11-29,46
2020-12-06,46
2020-12-13,50
2020-12-20,41
2020-12-27,33
2021-01-03,49
2021-01-10,43
2021-01-17,52
2021-01-24,54
2021-01-31,58
2021-02-07,56
2021-02-14,56
2021-02-21,64
2021-02-28,57
2021-03-07,57
2021-03-14,59
2021-03-21,59
2021-03-28,52
2021-04-04,60
2021-04-11,57
2021-04-18,58
2021-04-25,52
2021-05-02,61
2021-05-09,55
2021-05-16,64
2021-05-23,71
2021-05-30,68
2021-06-06,70
2021-06-13,66
2021-06-20,69
2021-06-27,71
2021-07-04,65
2021-07-11,70
2021-07-18,63
2021-07-25,66
2021-08-01,65
2021-08-08,65
2021-08-15,62
2021-08-22,65
2021-08-29,61
2021-09-05,58
2021-09-12,68
2021-09-19,65
2021-09-26,60
2021-10-03,61
2021-10-10,50
2021-10-17,60
2021-10-24,64
2021-10-31,43
2021-11-07,64
2021-11-14,68
2021-11-21,72
2021-11-28,66
2021-12-05,70
2021-12-12,73
2021-12-19,65
2021-12-26,56
2022-01-02,85
2022-01-09,82
2022-01-16,84
2022-01-23,80
2022-01-30,95
2022-02-06,89
2022-02-13,99
2022-02-20,92
2022-02-27,94
2022-03-06,92
2022-03-13,82
2022-03-20,84
2022-03-27,83
2022-04-03,85
2022-04-10,70
2022-04-17,85
2022-04-24,86
2022-05-01,75
2022-05-08,83
2022-05-15,84
2022-05-22,81
2022-05-29,78
2022-06-05,85
2022-06-12,79
2022-06-19,90
2022-06-26,83
2022-07-03,81
2022-07-10,82
2022-07-17,88
2022-07-24,80
2022-07-31,84
2022-08-07,80
2022-08-14,81
2022-08-21,90
2022-08-28,77
2022-09-04,77
2022-09-11,91
2022-09-18,86
2022-09-25,83
2022-10-02,68
2022-10-09,79
2022-10-16,84
2022-10-23,66
2022-10-30,77
2022-11-06,78
2022-11-13,92
2022-11-20,78
2022-11-27,91
2022-12-04,77
2022-12-11,77
2022-12-18,76
2022-12-25,70
2023-01-01,89
2023-01-08,79
2023-01-15,81
2023-01-22,77
2023-01-29,86
2023-02-05,89
2023-02-12,77
2023-02-19,82
2023-02-26,82
2023-03-05,78
2023-03-12,76
2023-03-19,77
2023-03-26,82
2023-04-02,78
2023-04-09,75
2023-04-16,78
2023-04-23,74
2023-04-30,72
2023-05-07,71
2023-05-14,73
2023-05-21,72
2023-05-28,77
2023-06-04,77
2023-06-11,83
2023-06-18,85
2023-06-25,83
2023-07-02,83
2023-07-09,85
2023-07-16,82
2023-07-23,88
2023-07-30,85
2023-08-06,80
2023-08-13,72
2023-08-20,81
2023-08-27,79
2023-09-03,85
2023-09-10,72
2023-09-17,74
2023-09-24,80
2023-10-01,73
2023-10-08,75
2023-10-15,72
2023-10-22,66
2023-10-29,75
2023-11-05,72
2023-11-12,71
2023-11-19,68
2023-11-26,75
2023-12-03,72
2023-12-10,74
2023-12-17,73
2023-12-24,60
2023-12-31,75
2024-01-07,85
2024-01-14,77
2024-01-21,79
2024-01-28,91
2024-02-04,98
2024-02-11,91
2024-02-18,87
2024-02-25,91
2024-03-03,90
2024-03-10,96
2024-03-17,93
2024-03-24,83
2024-03-31,90
2024-04-07,77
2024-04-14,92
2024-04-21,81
2024-04-28,80
2024-05-05,86
2024-05-12,84
2024-05-19,91
2024-05-26,88
2024-06-02,81
2024-06-09,88
2024-06-16,85
2024-06-23,86
2024-06-30,85
2024-07-07,88
2024-07-14,90
2024-07-21,93
2024-07-28,81
2024-08-04,80
2024-08-11,86
2024-08-18,85
2024-08-25,86
2024-09-01,82
2024-09-08,84
2024-09-15,84
2024-09-22,84
2024-09-29,86
2024-10-06,73
2024-10-13,79
2024-10-20,84
2024-10-27,64
2024-11-03,78
2024-11-10,93
2024-11-17,87
2024-11-24,86
2024-12-01,92
2024-12-08,90
2024-12-15,80
2024-12-22,71
2024-12-29,69
2025-01-05,87
2025-01-12,87
2025-01-19,94
2025-01-26,88
2025-02-02,89
2025-02-09,88
2025-02-16,92
2025-02-23,80
2025-03-02,95
2025-03-09,83
2025-03-16,100
2025-03-23,77
2025-03-30,85
2025-04-06,79
2025-04-13,76
2025-04-20,85
2025-04-27,71
2025-05-04,77
2025-05-11,82
2025-05-18,81
2025-05-25,81
2025-06-01,89
2025-06-08,93
2025-06-15,82
2025-06-22,78
2025-06-29,78
2025-07-06,76
2025-07-13,92
2025-07-20,78
2025-07-27,81
2025-08-03,84
2025-08-10,64
2025-08-17,73
2025-08-24,69
2025-08-31,70
