Category: All categories

Week,Software Developer: (India)
2020-09-06,38
2020-09-13,39
2020-09-20,35
2020-09-27,30
2020-10-04,45
2020-10-11,58
2020-10-18,67
2020-10-25,100
2020-11-01,82
2020-11-08,63
2020-11-15,67
2020-11-22,65
2020-11-29,53
2020-12-06,51
2020-12-13,50
2020-12-20,45
2020-12-27,45
2021-01-03,49
2021-01-10,44
2021-01-17,45
2021-01-24,51
2021-01-31,49
2021-02-07,45
2021-02-14,45
2021-02-21,47
2021-02-28,43
2021-03-07,45
2021-03-14,41
2021-03-21,40
2021-03-28,45
2021-04-04,45
2021-04-11,41
2021-04-18,43
2021-04-25,42
2021-05-02,47
2021-05-09,45
2021-05-16,48
2021-05-23,51
2021-05-30,54
2021-06-06,53
2021-06-13,51
2021-06-20,49
2021-06-27,49
2021-07-04,52
2021-07-11,50
2021-07-18,50
2021-07-25,46
2021-08-01,44
2021-08-08,46
2021-08-15,47
2021-08-22,45
2021-08-29,44
2021-09-05,44
2021-09-12,48
2021-09-19,45
2021-09-26,46
2021-10-03,37
2021-10-10,37
2021-10-17,39
2021-10-24,42
2021-10-31,33
2021-11-07,39
2021-11-14,44
2021-11-21,42
2021-11-28,43
2021-12-05,45
2021-12-12,48
2021-12-19,38
2021-12-26,37
2022-01-02,52
2022-01-09,53
2022-01-16,52
2022-01-23,59
2022-01-30,55
2022-02-06,55
2022-02-13,61
2022-02-20,65
2022-02-27,60
2022-03-06,58
2022-03-13,59
2022-03-20,59
2022-03-27,59
2022-04-03,59
2022-04-10,56
2022-04-17,61
2022-04-24,61
2022-05-01,56
2022-05-08,58
2022-05-15,64
2022-05-22,59
2022-05-29,58
2022-06-05,63
2022-06-12,62
2022-06-19,64
2022-06-26,64
2022-07-03,61
2022-07-10,63
2022-07-17,62
2022-07-24,64
2022-07-31,65
2022-08-07,58
2022-08-14,59
2022-08-21,63
2022-08-28,60
2022-09-04,57
2022-09-11,61
2022-09-18,61
2022-09-25,54
2022-10-02,53
2022-10-09,57
2022-10-16,51
2022-10-23,43
2022-10-30,59
2022-11-06,57
2022-11-13,56
2022-11-20,50
2022-11-27,53
2022-12-04,48
2022-12-11,47
2022-12-18,49
2022-12-25,47
2023-01-01,54
2023-01-08,51
2023-01-15,54
2023-01-22,49
2023-01-29,50
2023-02-05,52
2023-02-12,51
2023-02-19,55
2023-02-26,49
2023-03-05,53
2023-03-12,52
2023-03-19,53
2023-03-26,59
2023-04-02,55
2023-04-09,54
2023-04-16,56
2023-04-23,61
2023-04-30,53
2023-05-07,54
2023-05-14,55
2023-05-21,57
2023-05-28,60
2023-06-04,58
2023-06-11,63
2023-06-18,64
2023-06-25,63
2023-07-02,66
2023-07-09,64
2023-07-16,66
2023-07-23,68
2023-07-30,65
2023-08-06,60
2023-08-13,59
2023-08-20,60
2023-08-27,58
2023-09-03,60
2023-09-10,55
2023-09-17,58
2023-09-24,55
2023-10-01,56
2023-10-08,51
2023-10-15,53
2023-10-22,46
2023-10-29,48
2023-11-05,45
2023-11-12,41
2023-11-19,47
2023-11-26,55
2023-12-03,53
2023-12-10,48
2023-12-17,48
2023-12-24,49
2023-12-31,58
2024-01-07,60
2024-01-14,52
2024-01-21,56
2024-01-28,63
2024-02-04,61
2024-02-11,61
2024-02-18,59
2024-02-25,58
2024-03-03,55
2024-03-10,56
2024-03-17,61
2024-03-24,49
2024-03-31,55
2024-04-07,53
2024-04-14,54
2024-04-21,55
2024-04-28,55
2024-05-05,57
2024-05-12,55
2024-05-19,55
2024-05-26,60
2024-06-02,53
2024-06-09,59
2024-06-16,60
2024-06-23,62
2024-06-30,60
2024-07-07,63
2024-07-14,63
2024-07-21,63
2024-07-28,58
2024-08-04,58
2024-08-11,55
2024-08-18,52
2024-08-25,57
2024-09-01,56
2024-09-08,55
2024-09-15,52
2024-09-22,53
2024-09-29,49
2024-10-06,46
2024-10-13,47
2024-10-20,49
2024-10-27,41
2024-11-03,51
2024-11-10,47
2024-11-17,46
2024-11-24,47
2024-12-01,45
2024-12-08,51
2024-12-15,52
2024-12-22,45
2024-12-29,46
2025-01-05,51
2025-01-12,51
2025-01-19,54
2025-01-26,51
2025-02-02,60
2025-02-09,50
2025-02-16,50
2025-02-23,46
2025-03-02,50
2025-03-09,48
2025-03-16,53
2025-03-23,48
2025-03-30,47
2025-04-06,50
2025-04-13,45
2025-04-20,45
2025-04-27,44
2025-05-04,43
2025-05-11,51
2025-05-18,50
2025-05-25,47
2025-06-01,51
2025-06-08,55
2025-06-15,51
2025-06-22,52
2025-06-29,52
2025-07-06,54
2025-07-13,52
2025-07-20,49
2025-07-27,46
2025-08-03,48
2025-08-10,47
2025-08-17,49
2025-08-24,46
2025-08-31,43
