Category: All categories

Week,Software engineer: (India)
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,3
2022-07-03,8
2022-07-10,10
2022-07-17,10
2022-07-24,10
2022-07-31,10
2022-08-07,10
2022-08-14,10
2022-08-21,13
2022-08-28,12
2022-09-04,13
2022-09-11,12
2022-09-18,10
2022-09-25,11
2022-10-02,9
2022-10-09,9
2022-10-16,11
2022-10-23,19
2022-10-30,23
2022-11-06,32
2022-11-13,37
2022-11-20,31
2022-11-27,37
2022-12-04,27
2022-12-11,24
2022-12-18,38
2022-12-25,49
2023-01-01,52
2023-01-08,53
2023-01-15,55
2023-01-22,52
2023-01-29,55
2023-02-05,64
2023-02-12,57
2023-02-19,55
2023-02-26,56
2023-03-05,27
2023-03-12,21
2023-03-19,20
2023-03-26,21
2023-04-02,19
2023-04-09,19
2023-04-16,18
2023-04-23,19
2023-04-30,16
2023-05-07,18
2023-05-14,24
2023-05-21,32
2023-05-28,38
2023-06-04,39
2023-06-11,44
2023-06-18,40
2023-06-25,42
2023-07-02,44
2023-07-09,42
2023-07-16,39
2023-07-23,27
2023-07-30,23
2023-08-06,24
2023-08-13,19
2023-08-20,18
2023-08-27,17
2023-09-03,16
2023-09-10,16
2023-09-17,18
2023-09-24,13
2023-10-01,11
2023-10-08,11
2023-10-15,11
2023-10-22,14
2023-10-29,19
2023-11-05,14
2023-11-12,14
2023-11-19,15
2023-11-26,16
2023-12-03,15
2023-12-10,52
2023-12-17,76
2023-12-24,74
2023-12-31,82
2024-01-07,83
2024-01-14,75
2024-01-21,77
2024-01-28,85
2024-02-04,81
2024-02-11,79
2024-02-18,87
2024-02-25,88
2024-03-03,91
2024-03-10,99
2024-03-17,90
2024-03-24,92
2024-03-31,86
2024-04-07,84
2024-04-14,87
2024-04-21,88
2024-04-28,86
2024-05-05,91
2024-05-12,81
2024-05-19,85
2024-05-26,96
2024-06-02,85
2024-06-09,85
2024-06-16,90
2024-06-23,85
2024-06-30,96
2024-07-07,90
2024-07-14,91
2024-07-21,96
2024-07-28,91
2024-08-04,91
2024-08-11,86
2024-08-18,91
2024-08-25,92
2024-09-01,93
2024-09-08,95
2024-09-15,89
2024-09-22,89
2024-09-29,87
2024-10-06,81
2024-10-13,88
2024-10-20,82
2024-10-27,78
2024-11-03,89
2024-11-10,88
2024-11-17,88
2024-11-24,88
2024-12-01,87
2024-12-08,97
2024-12-15,81
2024-12-22,74
2024-12-29,78
2025-01-05,90
2025-01-12,90
2025-01-19,99
2025-01-26,90
2025-02-02,91
2025-02-09,92
2025-02-16,86
2025-02-23,88
2025-03-02,90
2025-03-09,88
2025-03-16,100
2025-03-23,85
2025-03-30,87
2025-04-06,88
2025-04-13,94
2025-04-20,88
2025-04-27,85
2025-05-04,80
2025-05-11,93
2025-05-18,96
2025-05-25,90
2025-06-01,98
2025-06-08,95
2025-06-15,95
2025-06-22,89
2025-06-29,91
2025-07-06,92
2025-07-13,94
2025-07-20,90
2025-07-27,95
2025-08-03,89
2025-08-10,85
2025-08-17,93
2025-08-24,89
2025-08-31,87
