Category: All categories

Week,Software Tester: (India)
2020-09-06,37
2020-09-13,41
2020-09-20,33
2020-09-27,29
2020-10-04,36
2020-10-11,27
2020-10-18,43
2020-10-25,24
2020-11-01,36
2020-11-08,22
2020-11-15,37
2020-11-22,33
2020-11-29,36
2020-12-06,38
2020-12-13,43
2020-12-20,34
2020-12-27,34
2021-01-03,36
2021-01-10,36
2021-01-17,46
2021-01-24,33
2021-01-31,43
2021-02-07,39
2021-02-14,42
2021-02-21,37
2021-02-28,43
2021-03-07,47
2021-03-14,42
2021-03-21,56
2021-03-28,59
2021-04-04,46
2021-04-11,46
2021-04-18,44
2021-04-25,48
2021-05-02,55
2021-05-09,46
2021-05-16,51
2021-05-23,57
2021-05-30,55
2021-06-06,50
2021-06-13,44
2021-06-20,46
2021-06-27,64
2021-07-04,51
2021-07-11,55
2021-07-18,71
2021-07-25,49
2021-08-01,60
2021-08-08,53
2021-08-15,43
2021-08-22,48
2021-08-29,49
2021-09-05,40
2021-09-12,40
2021-09-19,48
2021-09-26,50
2021-10-03,47
2021-10-10,31
2021-10-17,39
2021-10-24,42
2021-10-31,36
2021-11-07,45
2021-11-14,52
2021-11-21,54
2021-11-28,47
2021-12-05,48
2021-12-12,48
2021-12-19,51
2021-12-26,40
2022-01-02,68
2022-01-09,71
2022-01-16,71
2022-01-23,83
2022-01-30,72
2022-02-06,75
2022-02-13,71
2022-02-20,100
2022-02-27,84
2022-03-06,79
2022-03-13,85
2022-03-20,75
2022-03-27,63
2022-04-03,74
2022-04-10,67
2022-04-17,72
2022-04-24,80
2022-05-01,73
2022-05-08,66
2022-05-15,78
2022-05-22,64
2022-05-29,72
2022-06-05,61
2022-06-12,66
2022-06-19,67
2022-06-26,72
2022-07-03,75
2022-07-10,75
2022-07-17,71
2022-07-24,74
2022-07-31,78
2022-08-07,68
2022-08-14,66
2022-08-21,77
2022-08-28,65
2022-09-04,79
2022-09-11,79
2022-09-18,84
2022-09-25,76
2022-10-02,61
2022-10-09,73
2022-10-16,61
2022-10-23,48
2022-10-30,65
2022-11-06,63
2022-11-13,69
2022-11-20,70
2022-11-27,61
2022-12-04,61
2022-12-11,65
2022-12-18,62
2022-12-25,54
2023-01-01,66
2023-01-08,63
2023-01-15,73
2023-01-22,54
2023-01-29,70
2023-02-05,69
2023-02-12,66
2023-02-19,63
2023-02-26,67
2023-03-05,61
2023-03-12,68
2023-03-19,56
2023-03-26,66
2023-04-02,58
2023-04-09,54
2023-04-16,60
2023-04-23,53
2023-04-30,52
2023-05-07,42
2023-05-14,49
2023-05-21,54
2023-05-28,60
2023-06-04,57
2023-06-11,59
2023-06-18,61
2023-06-25,65
2023-07-02,68
2023-07-09,65
2023-07-16,71
2023-07-23,63
2023-07-30,60
2023-08-06,56
2023-08-13,45
2023-08-20,54
2023-08-27,53
2023-09-03,54
2023-09-10,65
2023-09-17,57
2023-09-24,59
2023-10-01,52
2023-10-08,57
2023-10-15,47
2023-10-22,44
2023-10-29,49
2023-11-05,41
2023-11-12,44
2023-11-19,49
2023-11-26,53
2023-12-03,50
2023-12-10,53
2023-12-17,52
2023-12-24,46
2023-12-31,56
2024-01-07,63
2024-01-14,49
2024-01-21,44
2024-01-28,70
2024-02-04,58
2024-02-11,54
2024-02-18,65
2024-02-25,56
2024-03-03,60
2024-03-10,51
2024-03-17,61
2024-03-24,52
2024-03-31,46
2024-04-07,52
2024-04-14,49
2024-04-21,61
2024-04-28,53
2024-05-05,50
2024-05-12,62
2024-05-19,56
2024-05-26,54
2024-06-02,45
2024-06-09,54
2024-06-16,51
2024-06-23,54
2024-06-30,52
2024-07-07,51
2024-07-14,53
2024-07-21,48
2024-07-28,52
2024-08-04,50
2024-08-11,49
2024-08-18,51
2024-08-25,49
2024-09-01,40
2024-09-08,48
2024-09-15,51
2024-09-22,47
2024-09-29,46
2024-10-06,41
2024-10-13,52
2024-10-20,39
2024-10-27,30
2024-11-03,48
2024-11-10,52
2024-11-17,46
2024-11-24,50
2024-12-01,46
2024-12-08,45
2024-12-15,46
2024-12-22,39
2024-12-29,50
2025-01-05,49
2025-01-12,47
2025-01-19,54
2025-01-26,59
2025-02-02,52
2025-02-09,47
2025-02-16,45
2025-02-23,50
2025-03-02,44
2025-03-09,38
2025-03-16,40
2025-03-23,39
2025-03-30,35
2025-04-06,45
2025-04-13,36
2025-04-20,41
2025-04-27,36
2025-05-04,38
2025-05-11,34
2025-05-18,42
2025-05-25,41
2025-06-01,41
2025-06-08,43
2025-06-15,36
2025-06-22,39
2025-06-29,36
2025-07-06,36
2025-07-13,37
2025-07-20,38
2025-07-27,37
2025-08-03,33
2025-08-10,34
2025-08-17,40
2025-08-24,33
2025-08-31,36
